track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,popularity,decade
"Take The ""A"" Train",Maynard ferguson,spotify:track:0OOA8Spapd6e7egjXzO55Z,-0.4031520519895443,0.6984877538005114,-1.474887584914898,0.5368779936982655,0.6649977355446168,0.2781219730264683,0.7517423931507307,2.641051218811569,0.6791710497813844,0.6566778252002169,0.16683358691615457,-0.5777052496186702,0.25138562771624845,-0.5058292462451955,-0.09762628344279622,-0.999927008187151,60s
La Suegra (Mother in Law),Los teen tops,spotify:track:2VP5MCr94Weu9VEiGcNjts,0.2436199230785393,-0.09319731784807242,0.7881852115165895,-0.3659375166183239,-1.503764519109264,-0.45354070903925575,0.022922010968614546,-0.5087179605517232,2.7432953331011047,0.8998230683701058,0.47694987427409163,-0.7102953967685055,0.25138562771624845,0.9973607789728581,-0.7133940279510032,-0.999927008187151,60s
Boi Bumbá,Luiz gonzaga,spotify:track:2snTBcopXQK60YFdRqWGHZ,0.4010948387472903,0.4649406576641789,1.0710693110705254,0.3372983396971008,0.6649977355446168,-0.3397265140512542,0.1232454643863958,-0.5087179605517232,0.2224040515117544,1.6030739255383992,0.6936601256126494,-0.4438878828996783,0.25138562771624845,-0.19616252430935707,-0.3028821982788652,-0.999927008187151,60s
Werewolf Watusi,Don hinson & the rigamorticians,spotify:track:1nF0BDdg5b9grwiYWSlh80,1.2503345625323397,-0.3307028393426478,0.5053011119626535,-0.49396974748699596,-1.503764519109264,2.5091124686586204,0.37995547754365927,-0.5087179605517232,0.713862214206926,0.6043080805174715,0.09322220753664438,-0.6703855439304545,0.25138562771624845,-0.3108192946986276,-0.3028821982788652,-0.999927008187151,60s
Esta Noite Me Embriago (Esta Noche Me Emborracho),Nelson gonçalves,spotify:track:6anfUhkWKCJ96yDcJCTPKd,0.35610200569907574,-0.26340960825251813,-1.192003485360962,0.5445975840888767,0.6649977355446168,-0.17132796024247648,1.4126969097855242,-0.5087179605517232,0.8988817578098138,0.7090475698829621,0.06834142384347644,-0.3496189276387804,0.25138562771624845,-0.3946728635790546,-0.09762628344279622,-0.999927008187151,60s
Is It Really Over?,Jim reeves,spotify:track:5FGJkdpDfTsNsEYcbPnPtB,-1.48860414927772,-1.3401013056945925,1.3539534106244613,-0.8104729535020505,0.6649977355446168,-0.5069636985234197,1.3005706971421218,-0.4678632138737894,-0.384691325935222,-1.20244811103724,-1.3228861538506023,-0.8425409137653586,0.25138562771624845,0.9970487798867593,-0.7133940279510032,1.0000729971410425,60s
Baby You're A Rich Man,The beatles,spotify:track:0JBvtprXP2Z0LP3jmzA7Xp,0.4460876717955049,0.17993403187068888,0.5053011119626535,0.11041769529011637,0.6649977355446168,-0.4291519529703983,-1.0396213883179442,-0.5087145010772062,-0.28639969339618776,-0.28223688304043015,-0.776161861344239,-0.4502761491500824,0.25138562771624845,-0.9837103017580753,-0.3028821982788652,1.0000729971410425,60s
Largo,Paulinho nogueira,spotify:track:3JVdP3NQGTbbnHBMErEotb,0.38422252635420984,-2.249351610482991,-0.06046708714521829,-4.161528313797079,0.6649977355446168,-0.0609978732643118,1.6812096821684093,2.1666089993258852,-0.546583426587749,-1.4680375304997337,-0.13671884728515943,-0.4965658626250503,0.25138562771624845,0.5836000078155752,-0.5081381131149342,-0.999927008187151,60s
Il faut savoir,Charles aznavour,spotify:track:49JOhwYn6wFbuDakUskuOv,-0.26817355284490085,-0.4336218986569639,-1.474887584914898,0.28043696657601436,0.6649977355446168,-0.5278683465824405,0.9996003368887781,-0.5087179605517232,0.991391529611258,0.06190715344618167,-0.31109052747733273,-0.39143685473846535,-2.1123064138097414,0.04911084830345553,-0.09762628344279622,-0.999927008187151,60s
Ya Parte el Galgo Terrible,Victor jara,spotify:track:7hp9YYJ9xwR6EasS4eEEdI,1.059115022077428,0.3541047476333775,1.0710693110705254,0.2761064646495737,-1.503764519109264,1.9400414937186128,1.4540065670751987,-0.5087179605517232,-0.5292378443749783,1.1953380562227396,0.2549473015422348,-1.0342981742528186,-2.1123064138097414,-0.6320720737592267,-0.7133940279510032,-0.999927008187151,60s
"Happy Birthday, Sweet Sixteen",Neil sedaka,spotify:track:5ttys6S3vGWCgOpiuB5axN,-0.23442892805873994,0.8568247681302283,0.7881852115165895,1.005325332523641,0.6649977355446168,-0.3211446046654581,0.7163341154738667,-0.5087179605517232,0.5693156957671696,1.3599286823685106,-1.3639188275103296,-0.6543644446235198,0.25138562771624845,-0.5068394287836607,-0.3028821982788652,1.0000729971410425,60s
Gentleness,David lindup,spotify:track:0MsXXwh5ahTSc4haH3zfbl,-1.6854477938636587,-1.950886338471475,0.5053011119626535,-1.509378307891035,-1.503764519109264,-0.49418863582068495,1.7549769273285423,2.6212827929996654,-0.5234559836373881,-1.8903621144055867,-0.726881414084567,-1.1570957816898633,0.25138562771624845,-0.4260143029716741,-0.9186499427870721,-0.999927008187151,60s
The First Noel,Traditional,spotify:track:1XDyjHSfSsdHppRZpkJlzc,-1.6966960021257123,-1.1857227167231186,-0.6262352862530901,-0.24110609152136928,0.6649977355446168,-0.49070452781084806,1.7077658904260569,-0.5084458152230461,0.7485533786324675,-1.0004505244037938,-1.4472213408697752,-0.3788872738018162,-2.1123064138097414,-0.7098808576477651,-0.3028821982788652,-0.999927008187151,60s
The Lone Teen Ranger,Jerry landis,spotify:track:2bTnyC2hJc8U5mXcCL0Mtf,-0.7743429246373141,0.8291157906225279,1.0710693110705254,0.7669594438769669,0.6649977355446168,0.5928530632483908,1.55433002049298,-0.5087179605517232,0.534624531341628,1.5207786124655136,1.8217149940218127,-0.8021939690259641,0.25138562771624845,-0.39599346679340197,-0.7133940279510032,1.0000729971410425,60s
Running Bear,Johnny preston,spotify:track:1RYznli2VNO7FCbW1Hq4KM,1.306575603842608,-1.118429485632989,-0.06046708714521829,-0.8392802054475017,-1.503764519109264,-0.23171916574631404,1.4451544976559827,-0.5086929534930712,-0.44250993331112454,1.0457102142720387,0.022360086023782033,-0.6445046600028304,0.25138562771624845,-0.8422174008703919,-0.09762628344279622,1.0000729971410425,60s
"Sad, Sad Girl",Barbara mason,spotify:track:5lSElmz9CNo1FZJRwrmnQx,-1.3142569212158888,-0.33466126470089075,-0.06046708714521829,0.4817111648092643,0.6649977355446168,-0.5301910852556649,0.7576437727635413,-0.5087179605517232,0.9740459473984873,0.46216163066430616,1.5851413545967192,-0.34582799595597474,-2.1123064138097414,-0.03888552125815589,-0.09762628344279622,1.0000729971410425,60s
Zelda's Theme,Pérez prado,spotify:track:7cSm6RF5oP4rw3d40pfY5b,1.7396316219316725,1.2605841546710062,0.5053011119626535,0.7827751900430968,0.6649977355446168,-0.396633611545255,1.0910717208873433,2.3412300939976993,-0.911997025203453,1.588111141343329,0.5175357935304877,-0.9573027547084739,0.25138562771624845,0.21316291413997707,-1.123905857623141,-0.999927008187151,60s
